MAKE,FUELTYPE,ASPIRE,DOORS,BODY,DRIVE,CYLINDERS,HP,RPM,MPG-CITY,MPG-HWY,PRICE
mazda,gas,std,two,hatchback,rear-wheel-drive,two,101,6000,17,23,11845
mercedes-benz,diesel,turbo,four,sedan,rear-wheel-drive,five,123,4350,22,25,25552
dodge,gas,turbo,two,hatchback,front-wheel-drive,four,102,5500,24,30,7957
toyota,gas,std,four,sedan,front-wheel-drive,four,92,4200,29,34,8948
honda,gas,std,two,hatchback,front-wheel-drive,four,58,4800,49,54,6479
subaru,gas,std,four,wagon,front-wheel-drive,four,82,4800,28,32,7463
volkswagen,gas,std,four,sedan,front-wheel-drive,four,85,5250,27,34,8195
mercedes-benz,diesel,turbo,four,sedan,rear-wheel-drive,five,123,4350,22,25,31600
chevrolet,gas,std,two,hatchback,front-wheel-drive,three,48,5100,47,53,5151
toyota,gas,std,two,hatchback,rear-wheel-drive,four,70,4800,29,34,8238
volkswagen,gas,std,four,sedan,front-wheel-drive,four,100,5500,26,32,9995
toyota,gas,std,four,hatchback,front-wheel-drive,four,92,4200,27,32,9988
peugot,gas,turbo,four,sedan,rear-wheel-drive,four,142,5600,18,24,18150
toyota,gas,std,four,hatchback,front-wheel-drive,four,70,4800,30,37,7198
toyota,gas,std,two,hatchback,front-wheel-drive,four,62,4800,31,38,6338
mazda,gas,std,two,hatchback,rear-wheel-drive,two,101,6000,17,23,13645
mazda,gas,std,two,hatchback,front-wheel-drive,four,84,4800,26,32,8845
mazda,gas,std,four,sedan,front-wheel-drive,four,68,5000,31,38,6695
honda,gas,std,two,hatchback,front-wheel-drive,four,86,5800,27,33,7895
saab,gas,turbo,two,hatchback,front-wheel-drive,four,160,5500,19,26,18150
volvo,gas,std,four,sedan,rear-wheel-drive,four,114,5400,23,28,12940
toyota,gas,std,four,hatchback,front-wheel-drive,four,70,4800,28,34,8358
volvo,gas,std,four,sedan,rear-wheel-drive,six,134,5500,18,23,21485
mazda,gas,std,two,hatchback,front-wheel-drive,four,84,4800,26,32,10595
volkswagen,gas,std,four,sedan,front-wheel-drive,five,110,5500,19,24,13295
honda,gas,std,two,hatchback,front-wheel-drive,four,60,5500,38,42,5399
toyota,gas,std,four,wagon,front-wheel-drive,four,62,4800,31,37,6918
dodge,gas,turbo,two,hatchback,front-wheel-drive,four,145,5000,19,24,12964
bmw,gas,std,four,sedan,rear-wheel-drive,six,121,4250,21,28,21105
peugot,diesel,turbo,four,sedan,rear-wheel-drive,four,95,4150,28,33,16900
toyota,gas,std,four,wagon,4wheel-drive,four,62,4800,27,32,8778
plymouth,gas,std,two,hatchback,front-wheel-drive,four,68,5500,37,41,5572
toyota,gas,std,four,hatchback,front-wheel-drive,four,92,4200,27,32,11248
jaguar,gas,std,four,sedan,rear-wheel-drive,six,176,4750,15,19,35550
honda,gas,std,four,sedan,front-wheel-drive,four,76,6000,30,34,7295
toyota,gas,std,four,wagon,rear-wheel-drive,six,156,5200,19,24,15750
honda,gas,std,four,sedan,front-wheel-drive,four,86,5800,27,33,8845
nissan,gas,std,four,sedan,front-wheel-drive,six,152,5200,19,25,13499
toyota,gas,std,four,sedan,rear-wheel-drive,six,156,5200,20,24,15690
