MAKE,FUELTYPE,ASPIRE,DOORS,BODY,DRIVE,CYLINDERS,HP,RPM,MPG-CITY,MPG-HWY,PRICE
saab,gas,std,two,hatchback,front-wheel-drive,four,110,5250,21,28,11850
mitsubishi,gas,std,two,hatchback,front-wheel-drive,four,88,5000,25,32,8499
alfa-romero,gas,std,two,convertible,rear-wheel-drive,four,111,5000,21,27,13495
toyota,gas,std,two,hatchback,front-wheel-drive,four,62,4800,35,39,5348
plymouth,gas,std,four,sedan,front-wheel-drive,four,68,5500,31,38,7609
volkswagen,diesel,std,two,sedan,front-wheel-drive,four,52,4800,37,46,7775
toyota,gas,std,two,hatchback,rear-wheel-drive,four,116,4800,24,30,9989
peugot,diesel,turbo,four,sedan,rear-wheel-drive,four,95,4150,28,33,17950
mitsubishi,gas,std,two,hatchback,front-wheel-drive,four,68,5500,31,38,6189
toyota,gas,std,two,hardtop,rear-wheel-drive,four,116,4800,24,30,8449
toyota,gas,std,two,convertible,rear-wheel-drive,four,116,4800,24,30,17669
mitsubishi,gas,std,four,sedan,front-wheel-drive,four,88,5000,25,32,8189
nissan,diesel,std,two,sedan,front-wheel-drive,four,55,4800,45,50,7099
honda,gas,std,two,hatchback,front-wheel-drive,four,76,6000,30,34,7129
nissan,gas,std,four,sedan,front-wheel-drive,four,69,5200,31,37,6849
peugot,diesel,turbo,four,wagon,rear-wheel-drive,four,95,4150,25,25,13860
audi,gas,turbo,four,sedan,front-wheel-drive,five,140,5500,17,20,23875
toyota,gas,std,two,hardtop,rear-wheel-drive,four,116,4800,24,30,9639
mazda,gas,std,two,hatchback,rear-wheel-drive,two,135,6000,16,23,15645
plymouth,gas,std,four,sedan,front-wheel-drive,four,68,5500,31,38,6692
plymouth,gas,turbo,two,hatchback,rear-wheel-drive,four,145,5000,19,24,12764
toyota,diesel,turbo,four,sedan,front-wheel-drive,four,73,4500,30,33,10698
saab,gas,std,two,hatchback,front-wheel-drive,four,110,5250,21,28,15040
chevrolet,gas,std,two,hatchback,front-wheel-drive,four,70,5400,38,43,6295
mitsubishi,gas,turbo,two,hatchback,front-wheel-drive,four,145,5000,19,24,14869
mercury,gas,turbo,two,hatchback,rear-wheel-drive,four,175,5000,19,24,16503
nissan,gas,std,two,sedan,front-wheel-drive,four,69,5200,31,37,5499
peugot,gas,std,four,sedan,rear-wheel-drive,four,97,5000,19,24,16630
bmw,gas,std,two,sedan,rear-wheel-drive,four,101,5800,23,29,16430
honda,gas,std,two,sedan,front-wheel-drive,four,100,5500,25,31,10345
mazda,gas,std,two,hatchback,rear-wheel-drive,two,101,6000,17,23,10945
volkswagen,gas,std,four,wagon,front-wheel-drive,four,88,5500,25,31,12290
plymouth,gas,std,four,wagon,front-wheel-drive,four,88,5000,24,30,8921
subaru,gas,std,four,sedan,front-wheel-drive,four,94,5200,26,32,9960
mazda,gas,std,four,sedan,front-wheel-drive,four,84,4800,26,32,10245
audi,gas,std,four,sedan,front-wheel-drive,five,110,5500,19,25,17710
mercedes-benz,diesel,turbo,two,hardtop,rear-wheel-drive,five,123,4350,22,25,28176
mercedes-benz,gas,std,four,sedan,rear-wheel-drive,eight,155,4750,16,18,34184
nissan,gas,std,two,hatchback,front-wheel-drive,four,69,5200,31,37,7799
nissan,gas,turbo,two,hatchback,rear-wheel-drive,six,200,5200,17,23,19699
