MAKE,FUELTYPE,ASPIRE,DOORS,BODY,DRIVE,CYLINDERS,HP,RPM,MPG-CITY,MPG-HWY,PRICE
porsche,gas,std,two,convertible,rear-wheel-drive,six,207,5900,17,25,37028
toyota,diesel,std,four,hatchback,front-wheel-drive,four,56,4500,38,47,7788
toyota,gas,std,four,sedan,front-wheel-drive,four,92,4200,27,32,10898
bmw,gas,std,four,sedan,rear-wheel-drive,four,101,5800,23,29,16925
nissan,gas,std,two,sedan,front-wheel-drive,four,69,5200,31,37,7299
peugot,gas,std,four,sedan,rear-wheel-drive,four,97,5000,19,24,11900
subaru,gas,turbo,four,sedan,4wheel-drive,four,111,4800,24,29,11259
dodge,gas,std,four,hatchback,front-wheel-drive,four,68,5500,31,38,6229
subaru,gas,std,two,hatchback,front-wheel-drive,four,69,4900,31,36,5118
nissan,gas,std,two,hatchback,rear-wheel-drive,six,160,5200,19,25,17199
volkswagen,gas,std,two,convertible,front-wheel-drive,four,90,5500,24,29,11595
volkswagen,gas,std,two,sedan,front-wheel-drive,four,85,5250,27,34,7975
mazda,gas,std,four,sedan,front-wheel-drive,four,84,4800,26,32,8495
nissan,gas,std,four,hatchback,front-wheel-drive,four,97,5200,27,34,8949
plymouth,gas,std,four,hatchback,front-wheel-drive,four,68,5500,31,38,6229
peugot,gas,std,four,wagon,rear-wheel-drive,four,95,5000,19,24,16695
bmw,gas,std,four,sedan,rear-wheel-drive,six,182,5400,16,22,30760
honda,gas,std,two,hatchback,front-wheel-drive,four,76,6000,30,34,6529
toyota,diesel,std,four,sedan,front-wheel-drive,four,56,4500,34,36,7898
toyota,gas,std,four,wagon,4wheel-drive,four,62,4800,27,32,7898
