MAKE,FUELTYPE,ASPIRE,DOORS,BODY,DRIVE,CYLINDERS,HP,RPM,MPG-CITY,MPG-HWY,PRICE
saab,gas,std,two,hatchback,front-wheel-drive,four,110,5250,21,28,11850
mitsubishi,gas,std,two,hatchback,front-wheel-drive,four,88,5000,25,32,8499
alfa-romero,gas,std,two,convertible,rear-wheel-drive,four,111,5000,21,27,13495
toyota,gas,std,two,hatchback,front-wheel-drive,four,62,4800,35,39,5348
plymouth,gas,std,four,sedan,front-wheel-drive,four,68,5500,31,38,7609
volkswagen,diesel,std,two,sedan,front-wheel-drive,four,52,4800,37,46,7775
toyota,gas,std,two,hatchback,rear-wheel-drive,four,116,4800,24,30,9989
peugot,diesel,turbo,four,sedan,rear-wheel-drive,four,95,4150,28,33,17950
mitsubishi,gas,std,two,hatchback,front-wheel-drive,four,68,5500,31,38,6189
toyota,gas,std,two,hardtop,rear-wheel-drive,four,116,4800,24,30,8449
toyota,gas,std,two,convertible,rear-wheel-drive,four,116,4800,24,30,17669
mitsubishi,gas,std,four,sedan,front-wheel-drive,four,88,5000,25,32,8189
nissan,diesel,std,two,sedan,front-wheel-drive,four,55,4800,45,50,7099
honda,gas,std,two,hatchback,front-wheel-drive,four,76,6000,30,34,7129
nissan,gas,std,four,sedan,front-wheel-drive,four,69,5200,31,37,6849
peugot,diesel,turbo,four,wagon,rear-wheel-drive,four,95,4150,25,25,13860
audi,gas,turbo,four,sedan,front-wheel-drive,five,140,5500,17,20,23875
toyota,gas,std,two,hardtop,rear-wheel-drive,four,116,4800,24,30,9639
mazda,gas,std,two,hatchback,rear-wheel-drive,two,135,6000,16,23,15645
plymouth,gas,std,four,sedan,front-wheel-drive,four,68,5500,31,38,6692
