MAKE,FUELTYPE,ASPIRE,DOORS,BODY,DRIVE,CYLINDERS,HP,RPM,MPG-CITY,MPG-HWY,PRICE
mitsubishi,gas,turbo,two,hatchback,front-wheel-drive,four,116,5500,23,30,9959
mazda,gas,std,two,hatchback,front-wheel-drive,four,68,5000,31,38,6095
mitsubishi,gas,turbo,two,hatchback,front-wheel-drive,four,145,5000,19,24,14489
volkswagen,diesel,turbo,four,sedan,front-wheel-drive,four,68,4500,33,38,13845
toyota,gas,std,four,sedan,front-wheel-drive,four,70,4800,38,47,7738
toyota,gas,std,two,hatchback,rear-wheel-drive,four,116,4800,24,30,11549
mercedes-benz,gas,std,two,hardtop,rear-wheel-drive,eight,184,4500,14,16,45400
toyota,gas,std,four,sedan,front-wheel-drive,four,70,4800,30,37,6938
honda,gas,std,four,wagon,front-wheel-drive,four,76,6000,30,34,7295
nissan,gas,std,two,hardtop,front-wheel-drive,four,69,5200,31,37,8249
mitsubishi,gas,std,four,sedan,front-wheel-drive,four,88,5000,25,32,6989
bmw,gas,std,two,sedan,rear-wheel-drive,six,182,5400,16,22,41315
audi,gas,std,two,sedan,front-wheel-drive,five,110,5500,19,25,15250
jaguar,gas,std,two,sedan,rear-wheel-drive,twelve,262,5000,13,17,36000
porsche,gas,std,two,hatchback,rear-wheel-drive,four,143,5500,19,27,22018
subaru,gas,std,four,sedan,front-wheel-drive,four,82,4400,28,33,7775
porsche,gas,std,two,hardtop,rear-wheel-drive,six,207,5900,17,25,34028
volvo,diesel,turbo,four,sedan,rear-wheel-drive,six,106,4800,26,27,22470
toyota,gas,std,four,hatchback,front-wheel-drive,four,62,4800,31,38,6488
mazda,diesel,std,four,sedan,rear-wheel-drive,four,72,4200,31,39,18344
