MAKE,FUELTYPE,ASPIRE,DOORS,BODY,DRIVE,CYLINDERS,HP,RPM,MPG-CITY,MPG-HWY,PRICE
audi,gas,std,four,sedan,front-wheel-drive,four,102,5500,24,30,13950
bmw,gas,std,four,sedan,rear-wheel-drive,six,182,5400,15,20,36880
nissan,gas,std,four,wagon,front-wheel-drive,four,69,5200,31,37,7999
peugot,diesel,turbo,four,sedan,rear-wheel-drive,four,95,4150,28,33,13200
dodge,gas,std,four,wagon,front-wheel-drive,four,88,5000,24,30,8921
audi,gas,std,four,sedan,4wheel-drive,five,115,5500,18,22,17450
toyota,gas,std,four,sedan,front-wheel-drive,four,70,4800,28,34,9258
mercedes-benz,diesel,turbo,four,wagon,rear-wheel-drive,five,123,4350,22,25,28248
peugot,gas,std,four,sedan,rear-wheel-drive,four,95,5000,19,24,15580
volvo,gas,turbo,four,sedan,rear-wheel-drive,four,114,5400,19,25,22625
mercedes-benz,gas,std,four,sedan,rear-wheel-drive,eight,184,4500,14,16,40960
peugot,diesel,turbo,four,wagon,rear-wheel-drive,four,95,4150,25,25,17075
nissan,gas,std,four,wagon,front-wheel-drive,four,69,5200,31,37,7349
subaru,gas,std,four,sedan,4wheel-drive,four,82,4800,24,25,9233
saab,gas,std,four,sedan,front-wheel-drive,four,110,5250,21,28,12170
toyota,gas,std,two,sedan,rear-wheel-drive,four,70,4800,29,34,8058
nissan,gas,std,four,sedan,front-wheel-drive,four,97,5200,27,34,9549
toyota,gas,std,two,hardtop,rear-wheel-drive,four,116,4800,24,30,11199
volvo,gas,std,four,wagon,rear-wheel-drive,four,114,5400,24,28,16515
